"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Hernan Perez","Brewers","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0","76","202","0.00","3.12","-3.12","7.99","13.19","5751"
"Yohander Mendez","Rangers","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".333","1.50",".333","100.0 %","0","73","189","0.00","3.12","-3.12","7.99","7.29","14391"
"Tyler Webb","Padres","8.10","5.40","1.50","0.00","20.0 %","13.3 %","6.7 %",".231","1.50",".300","40.0 %","217","79","115","8.10","3.12","4.98","4.58","4.40","14974"
"Brad Peacock","Astros","12.74","2.04","6.25","1.53","36.8 %","5.9 %","30.9 %",".156","0.79",".194","100.0 %","49","76","59","2.04","3.18","-1.14","2.44","2.01","5401"
"Scott Oberg","Rockies","8.18","4.09","2.00","0.00","19.2 %","9.6 %","9.6 %",".267","1.55",".343","57.9 %","144","75","106","6.55","3.21","3.33","4.25","3.91","13911"
"Freddy Peralta","Brewers","16.76","7.45","2.25","0.93","45.0 %","20.0 %","25.0 %",".125","1.24",".231","75.5 %","93","78","59","3.72","3.23","0.50","2.38","3.61","18679"
"Tommy Hunter","Phillies","8.38","1.86","4.50","0.93","20.0 %","4.4 %","15.6 %",".326","1.66",".394","75.3 %","119","78","76","4.66","3.23","1.43","3.06","2.83","1157"
"Matt Boyd","Tigers","7.69","2.44","3.15","0.56","21.1 %","6.7 %","14.4 %",".213","1.06",".261","74.3 %","73","76","110","3.19","3.23","-0.04","4.61","4.26","15440"
"Dellin Betances","Yankees","16.11","2.84","5.67","1.89","43.0 %","7.6 %","35.4 %",".247","1.26",".400","70.7 %","110","74","33","4.74","3.23","1.51","1.35","1.63","6216"
"Jacob Barnes","Brewers","9.00","4.26","2.11","0.47","21.8 %","10.3 %","11.5 %",".295","1.68",".379","75.2 %","71","78","91","2.84","3.23","-0.39","3.65","3.74","12323"
"Nick Vincent","Mariners","9.95","2.37","4.20","0.95","24.4 %","5.8 %","18.6 %",".275","1.42",".351","67.5 %","103","79","99","4.26","3.23","1.04","4.17","3.46","7555"
"Brad Boxberger","Diamondbacks","12.00","4.00","3.00","1.00","31.6 %","10.5 %","21.1 %",".206","1.22",".286","83.3 %","51","80","80","2.00","3.23","-1.23","3.23","3.01","10133"
"Jaime Barria","Angels","7.11","2.49","2.86","0.36","19.4 %","6.8 %","12.6 %",".204","1.03",".250","83.3 %","51","79","103","2.13","3.24","-1.11","4.33","4.26","18356"
"Andrew Heaney","Angels","10.26","3.12","3.29","0.89","27.7 %","8.4 %","19.3 %",".232","1.21",".307","65.3 %","81","79","78","3.35","3.25","0.10","3.25","3.52","15423"
"Kevin Shackelford","Reds","7.88","4.50","1.75","0.00","17.1 %","9.8 %","7.3 %",".361","2.13",".448","55.6 %","200","79","127","7.88","3.25","4.63","5.07","4.55","11012"
"Tyler Glasnow","Pirates","12.31","5.16","2.38","0.79","30.1 %","12.6 %","17.5 %",".244","1.54",".351","62.1 %","155","82","79","5.96","3.25","2.70","3.18","3.34","14374"
"Zach Duke","Twins","12.00","6.60","1.82","0.00","26.7 %","14.7 %","12.0 %",".246","1.73",".366","75.9 %","82","77","103","3.60","3.26","0.34","4.34","4.00","3840"
"Brandon Kintzler","Nationals","8.18","4.09","2.00","0.41","21.7 %","10.9 %","10.9 %",".268","1.45",".344","68.6 %","114","82","94","4.50","3.26","1.24","3.78","3.96","9939"
"Shohei Ohtani","Angels","11.60","3.12","3.71","1.12","32.3 %","8.7 %","23.6 %",".199","1.07",".270","78.4 %","81","80","75","3.35","3.27","0.08","3.15","3.11","19755"
"John Brebbia","Cardinals","10.38","1.38","7.50","1.38","28.9 %","3.9 %","25.0 %",".220","1.00",".273","68.6 %","109","83","78","4.15","3.28","0.88","3.15","2.64","12777"
"Paul Sewald","Mets","8.88","1.42","6.25","1.07","24.8 %","4.0 %","20.8 %",".229","1.03",".279","70.2 %","105","82","96","3.91","3.28","0.63","3.86","3.18","13892"
"Sam Freeman","Braves","8.68","5.79","1.50","0.00","24.3 %","16.2 %","8.1 %",".164","1.18",".233","65.2 %","74","83","104","2.89","3.28","-0.39","4.15","4.44","6832"
"Tony Barnette","Rangers","9.49","2.19","4.33","0.73","26.0 %","6.0 %","20.0 %",".156","0.81",".194","37.7 %","65","77","85","2.92","3.28","-0.37","3.55","2.91","3555"
"Caleb Smith","Marlins","12.02","4.85","2.48","0.84","31.5 %","12.7 %","18.8 %",".203","1.29",".289","70.9 %","111","84","93","4.22","3.29","0.93","3.74","3.73","14875"
"Miles Mikolas","Cardinals","6.86","0.90","7.67","0.90","19.4 %","2.5 %","16.9 %",".231","0.98",".266","85.6 %","59","83","78","2.24","3.29","-1.05","3.15","3.42","9803"
"Yusmeiro Petit","Athletics","5.79","1.61","3.60","0.64","15.1 %","4.2 %","10.9 %",".263","1.25",".298","71.4 %","84","80","102","3.54","3.30","0.23","4.29","4.07","4020"
"Jake Diekman","Rangers","11.81","7.88","1.50","0.00","27.6 %","18.4 %","9.2 %",".180","1.56",".275","73.1 %","75","78","110","3.38","3.31","0.07","4.63","4.57","5003"
"Luke Weaver","Cardinals","7.99","3.23","2.47","0.57","21.0 %","8.5 %","12.5 %",".236","1.27",".292","66.9 %","114","83","107","4.37","3.31","1.06","4.27","4.28","16918"
"Tyler Skaggs","Angels","9.54","2.88","3.31","0.90","25.4 %","7.7 %","17.7 %",".240","1.24",".306","83.9 %","70","81","82","2.88","3.32","-0.44","3.45","3.56","10190"
"Steve Cishek","Cubs","8.57","5.14","1.67","0.00","22.7 %","13.6 %","9.1 %",".164","1.14",".226","81.5 %","44","83","113","1.71","3.36","-1.65","4.52","4.26","6483"
"Carlos Martinez","Cardinals","8.46","3.96","2.14","0.18","22.4 %","10.5 %","11.9 %",".179","1.08",".237","82.8 %","42","85","109","1.62","3.36","-1.74","4.34","4.23","11682"
"Yoshihisa Hirano","Diamondbacks","7.97","2.21","3.60","0.89","24.3 %","6.8 %","17.6 %",".159","0.79",".184","83.3 %","56","84","88","2.21","3.37","-1.16","3.53","3.32","19756"
"Charlie Morton","Astros","11.32","2.91","3.89","1.13","32.1 %","8.3 %","23.9 %",".173","0.93",".225","92.9 %","47","81","66","1.94","3.37","-1.43","2.73","2.90","4676"
"Marco Gonzales","Mariners","8.35","1.75","4.78","0.97","21.4 %","4.5 %","16.9 %",".311","1.47",".380","71.4 %","113","82","78","4.66","3.38","1.28","3.28","3.60","15467"
"Odrisamer Despaigne","Marlins","7.36","2.45","3.00","0.61","19.4 %","6.5 %","12.9 %",".281","1.36",".341","51.0 %","161","87","99","6.14","3.39","2.74","3.95","4.03","16017"
"Tayron Guerrero","Marlins","13.08","5.06","2.58","0.84","31.6 %","12.2 %","19.4 %",".238","1.50",".353","70.5 %","122","87","77","4.64","3.40","1.24","3.10","3.13","11691"
"Ryan Buchter","Athletics","9.28","3.38","2.75","0.84","23.9 %","8.7 %","15.2 %",".238","1.31",".300","79.4 %","40","83","99","1.69","3.40","-1.72","4.16","3.74","9456"
"Drew Steckenrider","Marlins","12.60","4.50","2.80","0.90","31.8 %","11.4 %","20.5 %",".250","1.45",".370","63.8 %","154","88","83","5.85","3.42","2.43","3.34","3.12","18806"
"Elieser Hernandez","Marlins","4.15","0.69","6.00","0.69","11.8 %","2.0 %","9.8 %",".280","1.15",".302","88.2 %","55","88","111","2.08","3.43","-1.35","4.43","4.66","16933"
"Alex Claudio","Rangers","3.63","0.81","4.50","0.40","8.7 %","1.9 %","6.7 %",".370","1.75",".400","70.7 %","108","81","94","4.84","3.44","1.40","3.94","3.51","12890"
"Tyson Ross","Padres","9.22","3.69","2.50","0.67","24.3 %","9.7 %","14.6 %",".209","1.19",".268","73.3 %","90","87","93","3.35","3.44","-0.08","3.71","3.95","7872"
"Matt Albers","Brewers","6.95","1.64","4.25","0.82","20.0 %","4.7 %","15.3 %",".213","0.95",".246","93.8 %","31","83","93","1.23","3.44","-2.21","3.74","3.49","4300"
"Chris Martin","Rangers","9.00","1.80","5.00","1.20","23.8 %","4.8 %","19.1 %",".283","1.33",".349","69.8 %","107","81","72","4.80","3.46","1.34","3.02","3.09","11847"
"AJ Ramos","Mets","10.00","5.50","1.82","0.50","26.7 %","14.7 %","12.0 %",".203","1.33",".279","66.4 %","121","87","116","4.50","3.46","1.04","4.63","4.24","8350"
"Kevin McCarthy","Royals","5.60","2.04","2.75","0.51","15.3 %","5.6 %","9.7 %",".269","1.25",".309","69.4 %","70","84","81","3.06","3.46","-0.41","3.37","3.31","15240"
"Edubray Ramos","Phillies","11.21","4.08","2.75","1.02","31.9 %","11.6 %","20.3 %",".213","1.19",".297","98.9 %","26","84","86","1.02","3.46","-2.44","3.46","3.16","16086"
"Michael Wacha","Cardinals","7.97","3.81","2.10","0.54","21.0 %","10.0 %","11.0 %",".234","1.31",".291","76.1 %","81","87","99","3.08","3.46","-0.38","3.95","4.41","14078"
"Andrew Miller","Indians","16.20","6.94","2.33","0.77","38.9 %","16.7 %","22.2 %",".209","1.54",".381","86.0 %","70","83","76","3.09","3.47","-0.38","3.19","3.18","6785"
"Wade Davis","Rockies","10.18","3.98","2.56","0.89","29.1 %","11.4 %","17.7 %",".171","1.03",".222","82.4 %","59","81","93","2.66","3.47","-0.81","3.71","3.41","7441"
"Carlos Carrasco","Indians","8.51","1.89","4.50","1.08","23.9 %","5.3 %","18.6 %",".229","1.07",".275","72.4 %","83","83","83","3.65","3.47","0.18","3.47","3.58","6632"
"Daniel Mengden","Athletics","5.97","0.94","6.33","0.94","16.1 %","2.5 %","13.6 %",".243","1.08",".269","67.2 %","78","84","97","3.30","3.47","-0.17","4.09","4.28","16980"
"Blake Parker","Angels","10.32","2.78","3.71","1.19","27.7 %","7.5 %","20.2 %",".241","1.24",".310","88.2 %","67","85","85","2.78","3.48","-0.70","3.55","3.14","5224"
