"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Sal Romano","Reds","6.16","4.53","1.36","1.45","15.1 %","11.1 %","4.0 %",".261","1.55",".280","67.4 %","142","133","129","5.62","5.42","0.20","5.12","5.28","13690"
"Trevor Gott","Nationals","6.28","4.40","1.43","1.26","16.1 %","11.3 %","4.8 %",".264","1.47",".293","64.4 %","143","138","122","5.65","5.42","0.23","4.86","4.41","15046"
"Mike Fiers","Tigers","5.82","1.45","4.00","2.08","15.3 %","3.8 %","11.5 %",".264","1.22",".265","73.2 %","105","127","113","4.57","5.45","-0.88","4.78","4.55","7754"
"Josh Ravin","Braves","3.00","6.00","0.50","0.00","7.1 %","14.3 %","-7.1 %",".182","1.33",".200","60.0 %","154","139","206","6.00","5.46","0.54","8.16","6.74","2951"
"Enny Romero","- - -","10.50","6.00","1.75","1.50","18.9 %","10.8 %","8.1 %",".375","2.67",".458","57.7 %","192","139","158","7.50","5.46","2.04","6.27","4.66","4001"
"Justin Hancock","Cubs","11.37","8.53","1.33","1.42","32.0 %","24.0 %","8.0 %",".105","1.26",".100","90.9 %","72","138","118","2.84","5.49","-2.65","4.72","5.15","12316"
"Mike Dunn","Rockies","6.35","7.94","0.80","0.79","15.1 %","18.9 %","-3.8 %",".279","1.94",".324","58.3 %","175","130","164","7.94","5.50","2.44","6.51","6.33","9948"
"Clay Buchholz","Diamondbacks","3.60","1.80","2.00","1.80","11.1 %","5.6 %","5.6 %",".118","0.60",".071","100.0 %","46","139","147","1.80","5.52","-3.72","5.85","6.05","3543"
"Dillon Peters","Marlins","5.61","4.56","1.23","1.40","13.7 %","11.1 %","2.6 %",".282","1.64",".301","66.8 %","166","143","131","6.31","5.54","0.77","5.22","5.47","18790"
"Trevor Hildenberger","Twins","7.17","2.53","2.83","2.11","18.7 %","6.6 %","12.1 %",".226","1.17",".226","89.5 %","87","130","98","3.80","5.56","-1.76","4.11","3.89","17002"
"Adam Wainwright","Cardinals","7.50","7.00","1.07","1.00","17.1 %","15.9 %","1.1 %",".264","1.83",".309","80.8 %","105","142","140","4.00","5.57","-1.57","5.57","5.63","2233"
"Joe Biagini","Blue Jays","6.27","4.34","1.44","1.45","14.4 %","10.0 %","4.4 %",".329","1.88",".365","61.0 %","178","131","114","7.71","5.59","2.13","4.80","4.92","13194"
"Jake McGee","Rockies","7.41","2.65","2.80","2.12","19.4 %","6.9 %","12.5 %",".258","1.29",".271","63.2 %","128","132","114","5.82","5.59","0.23","4.54","3.98","7550"
"Danny Barnes","Blue Jays","9.00","4.24","2.13","2.12","21.8 %","10.3 %","11.5 %",".300","1.71",".347","94.0 %","73","131","124","3.18","5.59","-2.42","5.21","4.31","11388"
"Matt Bowman","Cardinals","10.59","4.76","2.22","2.12","24.7 %","11.1 %","13.6 %",".296","1.76",".362","78.7 %","152","142","97","5.82","5.59","0.23","3.87","3.72","13528"
"Jose Ramirez","Braves","9.95","11.37","0.88","0.00","18.4 %","21.1 %","-2.6 %",".321","2.68",".429","36.8 %","438","144","194","17.05","5.65","11.40","7.70","6.27","10171"
"Jeff Samardzija","Giants","6.90","5.40","1.28","1.50","16.7 %","13.0 %","3.6 %",".252","1.60",".275","66.7 %","168","150","148","6.30","5.66","0.64","5.87","5.61","3254"
"Cam Bedrosian","Angels","6.98","4.19","1.67","1.86","17.1 %","10.2 %","6.8 %",".304","1.71",".333","87.6 %","101","137","114","4.19","5.66","-1.47","4.82","4.58","13360"
"Matt Bush","Rangers","9.00","6.92","1.30","1.38","21.7 %","16.7 %","5.0 %",".224","1.62",".265","72.9 %","124","132","128","5.54","5.66","-0.12","5.41","5.04","1246"
"Chris Beck","White Sox","6.19","3.94","1.57","1.69","16.7 %","10.6 %","6.1 %",".259","1.38",".273","85.1 %","93","132","125","3.94","5.68","-1.75","5.28","4.80","13418"
"Jaime Garcia","Blue Jays","8.84","4.89","1.81","1.86","21.4 %","11.8 %","9.6 %",".279","1.66",".324","66.3 %","145","134","123","6.28","5.71","0.58","5.20","4.75","8137"
"Daniel Gossett","Athletics","3.68","3.68","1.00","1.23","8.6 %","8.6 %","0.0 %",".355","1.91",".370","44.1 %","263","137","146","11.05","5.71","5.33","6.16","5.86","16164"
"Tommy Kahnle","Yankees","11.05","9.82","1.13","1.23","25.7 %","22.9 %","2.9 %",".148","1.64",".176","47.2 %","142","131","135","6.14","5.71","0.42","5.71","5.65","11384"
"Jason Adam","Royals","12.91","1.17","11.00","3.52","37.9 %","3.5 %","34.5 %",".250","1.04",".286","100.0 %","81","139","61","3.52","5.73","-2.21","2.55","1.86","11861"
"Danny Farquhar","White Sox","10.13","0.00","9.00","3.38","31.0 %","0.0 %","31.0 %",".207","0.75",".176","55.6 %","133","134","70","5.63","5.75","-0.12","2.90","2.16","8501"
